English,Descrtiption
Vendor,Поставщик
Procurement,"Закупка, получение"
Invoice,"Счёт-Фактура, накладная, выставить счёт"
Requisition,Заявка
Wreck,"Авария, развалина, разрушить, затонувший"
procure,"приобретать, добывать, обеспечивать"
Consignment,"груз, партия груза, коносамент, консигнация"
premises,"Площадь, помещение, предпосылки"
Request Quotation,Запрос предложений/цен. Выдержка
Gather,Собирать
Allocate,Распределять
mandatory,Обязательный
withdrawing,"Отзыв, снимать, отзывать"
Debunk,Развеять
Ballsy ,напористый
Issue,"выпуск, выдача, вопрос"
acquire,"Приобретать, покупать"
Evaluate,Оценивать
Ledger ,"гроссбух, главная книга"
Mention,Упомянуть
peruse,"Просматривать, ознокомится, внимательно взглянуть"
division,"Отдел, деление, подразделение"
comprise,"Включить (часть чего-то), состовлять содержать"
consider,рассматривать
expense,расход
revenue,доход
retail,"Розначный, розничная продажа"
surcharge,Доплата
particular,подробный
Reconciliation,"Согласование, примерение, улаживание"
Inquiries,Процедение исследований/расспросы/запроос 
sold-to-party,Заказчик (SAP)
ship-to party,отправитель (SAP)
redundant,Избыточный
courage,мужество
flourish,процеветать
cozy,"Уютный, комфортный"
snatch,"Хватать, похитить, захватить"
deplete,истощать
dignity,достоинство
annulment,обнуление
reconciliation,"Согласие (agreement), примерение"
recklessness,Безрассудство
spoiled,"Испорченный, избалованный"
passionate,"Страстный, "
sobriety,"Трезвость, Воздержанность"
reinforce,"Укреплять, усиливать"
redeem,"Искупить, выкупить, спасти"
decline,снижение
Tough,"Жёсткий, крепкий"
insignia,эмблема
snort,"Фыркнуть, пыхтеть"
complain,жаловаться
niche,ниша
bizarre,странный
collateral,обеспечение
pro bono,"Бесплатно, благотворительно"
appeal,"Апелляция, обращение"
last-ditch,Последняя попытка
blunt,Тупой (объект)
legislation,"Законодательство, закон"
withhold,удерживать
mock,"Издеваться, дразнить"
underdog,неудачник
Brawl,драка
aptitude,"Способность, Склонность "
persistent,упорный
admire,Восхищаться
awkward,"Неловкий, неуклюжий"
sickle,серп
infest,заражать
deceased,покойный
larceny,Вороство
possess,владеть
felon,"Преступник, уголовник"
warrant,ордер
amorous,влюбчивый
erratic,Неустойчивый 
mucosal,Слизистая оболочка
underway,В процессе
subtotals,Промежуточные итоги
influx,приток
lanyard,шнурок
thigh,бедро
bluff,блефовать
meatloaf,Мясной рулет
proliferate,"Размножаться, преумножаться"
humble,"скромный, малый"
bumble-bee,шмель
insinuate,намекать внушать
solitary,"одинокий, уединенный"
larva,личинка
burglar,грабитель
retrieve,"Забирать, извлекать"
obsolete,устарелый
batch,партия
humidity,влажность
admirably,превосходно
stumble,Спотыкаться
shallow,"Мелкий, мелководный, поверхностный"
asset,"Актив, ресурс"
survey,"Обзор, обследование, исследование"
ensure,"Гарантировать, обеспечивать"
Solubility,растворимость
Fluent ,беглый
overlap,Перекрыть
bald,"Лысый, плешивый"
hump,горб
peculiar,"Своеобразный, специфический"
cartilage,хрящ
mussel,мидия
urchin,еж
pest,вредитель
molasses,патока
yeast,дрожжи
forecast,прогноз
kettle,чайник
imminent,неизбежный
sustainability,устойчивость
breach,"Нарушение, брешь"
grease,смазывать
intend,Намерение
whim,прихоть
wield,"Иметь в руках, владеть"
harbor,гавань
aerial,антенна
inclined,наклонный
approximately,приблизительно
firmware,"Прошивка, микропрограмма"
freeware,Бесплатное ПО
Crowd,"Толпа, сообщество"
versatile,"многофункциональный, универсальный"
skulduggery,"Надувательство, жульничество"
explicitly,явно
cumbersome,"Обременительный, громоздкий"
descendant,потомок
assumption,предположение
enhancement,"Улучшение, усиление"
vulnerability,уязвимость
sparingly,"Скупо, экономно"
anoxic,Бескислородный
mutiny,мятеж
Relieve,"Освобождать, ослаблять, отстранять"
valor,"Доблесть, отвага"
improbable,Невероятный
perpetuate,Увековечивать
deterrence,Сдерживание
desalination,Опреснить
staffing,Укомплектование кадрами
bandwidth,Пропускная способность
diminishing,"Уменьшение, уменьшающийся"
submersible,Погружной (аппарат)
trim,"Отделка, обшивка"
gasket,"Прокладка, уплотнитель, сальник"
breeding,"Разведение, селекция (кроликов)"
broadband,широкополосный
sparsely,"Редко, нечасто"
agile,"Проворный, подвижный, гибкий"
lingo,жаргон
awe,"Трепет, страх, благоговение"
Pendulum,Маятник
equilibrium,Равновесие
digestible,Усваиваемый
kernel,"ядро (например, операционной системы)"
spreadsheet,электронная таблица
jetty,пристань
SCUBA,"Давйвинг, подводное плавание"
permeable,проницаемый
embankment,набережная
cofferdam,перемычка
dismantle,демонтировать
divert,отвлечь
harness,"Использовать, задействовать"
Appliance,"Прибор, устройство"
Arise,"Возникать, появляться"
Drawback,недостаток
Level with someone,Быть на одном уровне с кем-то
strain,"Штамм, напряжение"
Demand,"Спрос, потребность"
jog,Бег трусцой
sophisticated,утонченный
Precipitation,"Выпадение осадков, осаждение"
parcel,посылка
fossil,искапаемое
fancy,изысканный
dwelling,жилище
glimpse,"Случайно заметить, взглянуть, заглянуть"
sudden,внезапный
impetuous,стремительный
exert,Прикладывать (усилие)
plausible,правдоподобный
flutter,трепетать
fright,испуг
tensile,растяжение
entanglement,запутанность
proximity,близость
decisive,решающий
mired,Погрязший
nurse,медсестра
timid,робкий
bleak,мрачный
gaudy,"Безвкусная, ярка"
solemn,"Торжественный, священный, мрачный"
arrogant,высокомерый
embed,"Встраивать, врезать, вставлять"
empower,"Уполномочивает, дает возможность, разрешает"
exceed,превышать
resemblance,сходство
benevolence,доброжелательность
composure,"Самообладание, хладнокровие"
consent,"Согласие, разрешение"
comma,запятая
sufficient,достаточный
Negotiate,Вести переговоры
defame,опорочить
alias,"Псевдоним, кличка"
bribe,взятка
credibility,"Правдоподобие, доверие, авторитет"
liaison,"Связь, контакты, связной"
refuge,прибежище
Rinse,"промыть, полоскать"
chatter,болтовня
gossip,"Сплетни, слух"
propose,Предложить (глагол)
kludge,"Путаница, в программе – «костыль»"
signature,подпись
blank,"Пустой, чистый"
cubicle,кабинка
sip,глоток
swirl,"Водоворот, завихрение"
bobbin,"Катушка, шпулька"
weave,ткать
errand,поручение
abbreviation,аббревиатура
oversee,курировать
prevail,"превалировать, преобладать"
prospect,перспектива
simultaneous,одновременный
substantial,существенный
wary,"Настороженный, подозрительный"
accomplish,"выполнять, доводить до конца"
persuade,уговаривать
elimination,Устранение
savvy,"Смекалка, здравый смысл"
eager,стремящийся
obscurity,"Неясность, безызвестность, тьма"
obscure,"Смутный, темный, неясный"
insatiable,Ненасытный
appearance,"Внешний вид, появление, поступление"
stubborn,Упрямый
courteous,Учтивый
attitude,"Отношение, позиция, подход"
fade,"Увядать, исчезать, выцветать"
jeopardize,"Подвергать опасности, рисковать"
withstand,Выдерживать
stipulate,"Оговаривать, предусматривать"
profoundly,"Глубоко, сильно ( расстроить, изменить)"
idle,"Праздный, холостой"
Assignment,Присвоение
To backport,Перенос кода в старую версию
Brackets,Квадратные скобки
Callback,"Функция, которая передается в качестве аргум. в другую функцию и вызывается асинхронно."
Commit,"Совершить, фиксировать"
Deadlock,Тупик; два процесса ждут рез-та вып-я друг друга
Dependence,Зависимость
deprecation,"Осуждение, неодобрение(объявление нен-го кода)"
Implicit,"Неявный, безусловный, скрытый"
Introspection,"Самоанализ, самонаблюдение"
Merge,"Объединить, сливать"
Parenthesis,Круглые скобки
Proxy,"Доверенный, уполномоченный, представитель"
Queue «Кьюе»,очередь
stub,"Огрызок, заглушка"
Trait,Черта характера. ООП: методы для расширения функц класса
Yield,"Принести, дать, уступать другому процессу"
Snapshot,Снимок состояния системы
Spyware,Программа-шпион
Bloat,Раздувание
Bloatware,Предуст-ленная программа с большим объемом
ZEROIZE,Обнулять очищать
placeholder,заполнитель
behalf,от имени
rather,"Скорее, довольно, лучше"
parse,"Разбирать, структурный анализ"
acknowledgement,"Квитирование, признание, подтверждеие"
counterparts,"Аналоги, копии, коллеги"
appropriate,Подходящий
respective,соответствующий
superordinate,"Вышестоящий, начальство"
omit,"Пропускать, не включать"
reverence,"Почтение, благословение, реверанс, поклон"
shiver,"Дрожь, трепет, содрогание"
commitment,обязательство
imply,"Подразумевать, означать, предполагать "
accommodate,"Приспособить, вмещать"
drastically,"Кардинально, радикально"
Hence,Следовательно
pagination,Нумерация страниц
hint,"Подсказка, намек, совет"
InfoSet,Информационный пакет
commuter,"Пригородный, пассажирский, регулярный"
custody,"Заключение, заключение под стражу, зажержание"
detention,Содержание под стражей
affiliate,"Филиал, отделение"
fellow,"Собрат, приятель"
acute,"Острый, серьезный (фильм, ситуация)"
admission,"Прием, доступ, признание"
Adverse (-ly),"Негативный (негативно), неблагоприятный"
advertise,Рекламировать
auditing,"Проверка, ревизия"
benign,"Доброкачественный, благоприятный"
bisection,Делить пополам
latency,"Задержка, период ожидания"
eyestrain,Зрительное перенапряжение
suitable,Подходящий
abundance,Изобилие
strictly,строго
habitation,Место обитания
ornery,"Недружелюбный, злой, вспыльчивый"
leisure,"Досуг, отдых, свободное время"
to scold,ругать
tainted,"Запятнано, испорчено"
mourn,"Оплакивать, печалится"
strife,"Беспорядок, раздор, ссора"
distinguished,выдающийся
Nourish (-ment),"Питать, кормить (пища)"
reliance,"Зависимость, упор на что-то"
comprehend,"Осмыслять, постига, понимать"
elaborate,"Разработать, разрабатывать"
anticipate,"Ожидать, предвидеть"
emerge,"Возникнуть, появится, возникать"
intimidate,"Запугать, напугать"
thrive,"Процветать, преуспевать"
Noun,Существительное
